Pair_Speaker_turn,PairID,Speaker,Turn,Speaker_turn,Turn_Boundary,Turn Start,Turn End
20240521_1823_WBLMay1GP8HB_B_7,20240521_1823_WBLMay1GP8HB,B,7,B_7,91.119999,88.45,118.369995
20240521_1823_WBLMay1GP8HB_A_8,20240521_1823_WBLMay1GP8HB,A,8,A_8,114.092545,120.72506,139.73509
20240521_1823_WBLMay1GP8HB_B_8,20240521_1823_WBLMay1GP8HB,B,8,B_8,129.20178,137.35942,137.6785
20240521_1823_WBLMay1GP8HB_B_9,20240521_1823_WBLMay1GP8HB,B,9,B_9,151.858565,142.38486,166.35771
20240521_1823_WBLMay1GP8HB_A_10,20240521_1823_WBLMay1GP8HB,A,10,A_10,165.84992499999998,168.02,189.31499
20240521_1823_WBLMay1GP8HB_B_11,20240521_1823_WBLMay1GP8HB,B,11,B_11,195.71338500000002,189.9705,223.40677
20240521_1823_WBLMay1GP8HB_A_12,20240521_1823_WBLMay1GP8HB,A,12,A_12,208.36723,224.6069,226.76396
20240521_1823_WBLMay1GP8HB_B_13,20240521_1823_WBLMay1GP8HB,B,13,B_13,226.64345500000002,227.64,228.68001
20240521_1823_WBLMay1GP8HB_A_14,20240521_1823_WBLMay1GP8HB,A,14,A_14,245.004325,229.64006,262.36865
20240521_1823_WBLMay1GP8HB_B_14,20240521_1823_WBLMay1GP8HB,B,14,B_14,237.75312000000002,238.68,245.86618
20240521_1823_WBLMay1GP8HB_B_15,20240521_1823_WBLMay1GP8HB,B,15,B_15,253.63230000000001,264.63998,268.5846
20240521_1823_WBLMay1GP8HB_A_16,20240521_1823_WBLMay1GP8HB,A,16,A_16,285.03774,269.56042,305.4355
20240521_1823_WBLMay1GP8HB_B_17,20240521_1823_WBLMay1GP8HB,B,17,B_17,290.374875,308.63647,311.18933
20240521_1823_WBLMay1GP8HB_A_17,20240521_1823_WBLMay1GP8HB,A,17,A_17,309.952895,311.10944,311.26932
20240521_1823_WBLMay1GP8HB_Both_17,20240521_1823_WBLMay1GP8HB,Both,17,Both_17,311.30893000000003,311.18933,311.50842
20240521_1823_WBLMay1GP8HB_A_18,20240521_1823_WBLMay1GP8HB,A,18,A_18,311.94877499999996,311.42917,312.70822
20240521_1823_WBLMay1GP8HB_B_19,20240521_1823_WBLMay1GP8HB,B,19,B_19,313.622775,314.22083,315.81638
20240521_1823_WBLMay1GP8HB_A_20,20240521_1823_WBLMay1GP8HB,A,20,A_20,358.545415,316.6252,402.87
20240521_1823_WBLMay1GP8HB_B_21,20240521_1823_WBLMay1GP8HB,B,21,B_21,392.52255,403.54987,468.4199
20240521_1823_WBLMay1GP8HB_A_22,20240521_1823_WBLMay1GP8HB,A,22,A_22,468.434935,472.17297,533.32
20240521_1823_WBLMay1GP8HB_B_23,20240521_1823_WBLMay1GP8HB,B,23,B_23,503.733835,534.4981,535.2947
20240521_1823_WBLMay1GP8HB_A_24,20240521_1823_WBLMay1GP8HB,A,24,A_24,539.1898,536.04,543.8815
20240521_1823_WBLMay1GP8HB_Both_24,20240521_1823_WBLMay1GP8HB,Both,24,Both_24,538.853525,537.6843,541.66705
20240521_1823_WBLMay1GP8HB_B_25,20240521_1823_WBLMay1GP8HB,B,25,B_25,559.234665,545.7295,580.78503
20240521_1823_WBLMay1GP8HB_A_26,20240521_1823_WBLMay1GP8HB,A,26,A_26,584.5604000000001,582.4585,623.3913
20240521_1823_WBLMay1GP8HB_B_26,20240521_1823_WBLMay1GP8HB,B,26,B_26,600.98047,619.104,619.50244
20240521_1823_WBLMay1GP8HB_B_27,20240521_1823_WBLMay1GP8HB,B,27,B_27,642.3245850000001,623.8855,665.54517
20240521_1823_WBLMay1GP8HB_A_28,20240521_1823_WBLMay1GP8HB,A,28,A_28,645.312,666.33984,666.7385
